Product_ID,Product_Name,Product_Category,Subcategory,Standard_Cost,Unit_of_Measure
P0001,ProBook 14,IT Equipment,Laptops,1261.81,Each
P0002,ProBook 15,IT Equipment,Laptops,2126.07,Each
P0003,EliteBook X1,IT Equipment,Laptops,1797.99,Each
P0004,ThinkLine T4,IT Equipment,Laptops,1597.99,Each
P0005,AeroBook Air,IT Equipment,Laptops,934.03,Each
P0006,WorkStation Mobile 17,IT Equipment,Laptops,933.99,Each
P0007,UltraView 24,IT Equipment,Monitors,147.88,Each
P0008,UltraView 27,IT Equipment,Monitors,535.76,Each
P0009,ClearScreen 32 Curved,IT Equipment,Monitors,408.54,Each
P0010,VisionPro 24,IT Equipment,Monitors,459.87,Each
P0011,VisionPro 27,IT Equipment,Monitors,129.88,Each
P0012,DockPro USB-C,IT Equipment,Docking Stations,215.19,Each
P0013,DockLink Dual HDMI,IT Equipment,Docking Stations,193.19,Each
P0014,DockMax Universal,IT Equipment,Docking Stations,93.97,Each
P0015,DockLite Compact,IT Equipment,Docking Stations,89.09,Each
P0016,Switch 24-Port,IT Equipment,Networking Equipment,764.41,Each
P0017,Switch 48-Port,IT Equipment,Networking Equipment,1169.21,Each
P0018,WiFi Access Point AX,IT Equipment,Networking Equipment,1907.93,Each
P0019,Firewall Appliance,IT Equipment,Networking Equipment,1597.02,Each
P0020,Router Enterprise,IT Equipment,Networking Equipment,1125.62,Each
P0021,Network Cable Bundle Cat6,IT Equipment,Networking Equipment,2199.71,Each
P0022,Wireless Mouse,IT Equipment,Peripherals,33.83,Each
P0023,Mechanical Keyboard,IT Equipment,Peripherals,54.44,Each
P0024,Webcam HD,IT Equipment,Peripherals,64.46,Each
P0025,USB Headset,IT Equipment,Peripherals,76.57,Each
P0026,Docking Cable Kit,IT Equipment,Peripherals,121.0,Each
P0027,Office Suite Standard,Software,Productivity Licenses,119.89,License
P0028,Office Suite Pro,Software,Productivity Licenses,229.98,License
P0029,Cloud Storage Plan,Software,Productivity Licenses,257.35,License
P0030,Email Platform Plan,Software,Productivity Licenses,66.26,License
P0031,Endpoint Protection,Software,Security Licenses,395.92,License
P0032,VPN License,Software,Security Licenses,168.67,License
P0033,Identity Management Suite,Software,Security Licenses,113.83,License
P0034,Firewall Software License,Software,Security Licenses,573.42,License
P0035,BI Platform License,Software,Analytics Licenses,1455.32,License
P0036,Data Warehouse Add-on,Software,Analytics Licenses,1250.92,License
P0037,Reporting Suite License,Software,Analytics Licenses,596.0,License
P0038,PM Tool Standard,Software,Project-Management Licenses,60.51,License
