PO_Line_ID,PO_ID,Vendor_ID,Product_ID,Department_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Quantity,Unit_Price,Currency,PO_Status
L002112,PO000944,V029,P0067,D02,2025-12-05,2025-12-15,2025-12-15,54.0,32.73,USD,Completed
L004179,PO001872,V017,P0032,D07,2025-01-31,2025-02-03,2025-02-02,250.0,205.49,USD,Completed
L011840,PO005366,V017,P0029,D03,2025-08-18,2025-08-21,2025-08-22,297.0,320.81,USD,Completed
L000219,PO000113,V040,P0104,D02,2025-12-26,2025-12-28,2025-12-27,29.0,257.87,USD,Completed
L008828,PO003973,V002,P0017,D08,2024-04-18,2024-04-28,2024-05-22,7.0,1266.39,USD,Completed
L002938,PO001300,V033,P0098,D07,2024-04-07,2024-04-26,2024-04-23,2.0,3713.55,USD,Completed
L012939,PO005898,V032,P0067,D05,2025-07-22,2025-07-27,,29.0,35.64,USD,Open
L002236,PO001002,V036,P0088,D08,2024-08-01,2024-08-10,2024-08-10,94.0,279.49,USD,Completed
L012550,PO005699,V002,P0026,D01,2024-09-30,2024-10-05,2024-10-14,47.0,136.75,USD,Completed
L005935,PO002678,V018,P0035,D08,2024-08-01,2024-08-07,2024-10-13,48.0,1219.06,USD,Completed
L013459,PO006124,V033,P0098,D06,2025-10-30,2025-11-09,2025-11-06,3.0,3653.28,USD,Completed
L002778,PO001232,V035,P0089,D07,2024-10-26,2024-11-03,2024-11-01,126.0,303.4,USD,Completed
L004000,PO001789,V035,P0088,D01,2025-01-27,2025-02-06,2025-02-06,160.0,235.34,USD,Completed
L004635,PO002081,V036,P0093,D08,2025-08-05,2025-08-14,2025-08-11,120.0,218.28,USD,Completed
L015257,PO006933,V040,P0101,D09,2025-02-14,2025-02-17,2025-02-17,5.0,403.02,USD,Completed
L006367,PO002879,V040,P0104,D02,2025-09-19,2025-09-22,2025-09-21,22.0,253.32,USD,Completed
L010770,PO004849,V006,P0022,D01,2025-02-04,2025-02-08,2025-02-08,38.0,34.74,USD,Completed
L007748,PO003485,V036,P0090,D07,2024-07-22,2024-08-05,2024-08-02,116.0,215.22,USD,Completed
L005144,PO002321,V011,P0085,D09,2024-03-18,2024-04-20,2024-04-20,3.0,8209.84,USD,Completed
L009227,PO004157,V015,P0086,D02,2024-02-26,2024-04-02,2024-04-04,6.0,9488.16,USD,Completed
L016130,PO007329,V002,P0015,D01,2024-09-01,2024-09-05,2024-09-03,55.0,93.46,USD,Completed
L009274,PO004181,V011,P0078,D08,2024-03-15,2024-04-03,2024-04-02,977.0,25.65,USD,Completed
L009496,PO004276,V039,P0100,D09,2025-05-24,2025-05-26,2025-05-25,16.0,951.61,USD,Completed
L014955,PO006793,V014,P0078,D09,2025-05-28,2025-06-05,2025-06-05,692.0,32.17,USD,Completed
L015821,PO007182,V034,P0093,D04,2025-01-06,2025-01-08,2025-01-17,35.0,278.24,USD,Completed
L018289,PO008286,V006,P0022,D01,2025-10-15,2025-10-21,2025-10-20,93.0,33.99,USD,Completed
L011821,PO005359,V011,P0077,D09,2024-12-22,2025-01-01,2024-12-29,430.0,240.1,USD,Completed
L019435,PO008829,V023,P0055,D02,2024-03-22,2024-04-05,2024-04-03,12.0,811.88,USD,Completed
L016984,PO007715,V017,P0032,D08,2024-05-25,2024-05-26,2024-05-26,300.0,214.17,USD,Completed
L011831,PO005363,V020,P0028,D01,2024-06-25,2024-06-28,2024-06-27,500.0,223.71,USD,Completed
L002381,PO001064,V031,P0064,D09,2024-10-14,2024-10-18,2024-10-26,7.0,1571.38,USD,Completed
L014833,PO006736,V039,P0107,D09,2024-12-06,2024-12-07,2025-01-17,3.0,2469.55,USD,Completed
L014948,PO006791,V032,P0059,D02,2024-01-07,2024-01-19,2024-01-17,6.0,246.87,USD,Completed
L004769,PO002141,V015,P0087,D02,2025-01-19,2025-02-11,2025-02-19,5.0,22115.76,USD,Completed
