Date,Year,Quarter,Month,Month Name,Year-Month,Week,Day Name
2024-01-01,2024,Q1,1,January,2024-01,1,Monday
2024-01-02,2024,Q1,1,January,2024-01,1,Tuesday
2024-01-03,2024,Q1,1,January,2024-01,1,Wednesday
2024-01-04,2024,Q1,1,January,2024-01,1,Thursday
2024-01-05,2024,Q1,1,January,2024-01,1,Friday
2024-01-06,2024,Q1,1,January,2024-01,1,Saturday
2024-01-07,2024,Q1,1,January,2024-01,1,Sunday
2024-01-08,2024,Q1,1,January,2024-01,2,Monday
2024-01-09,2024,Q1,1,January,2024-01,2,Tuesday
2024-01-10,2024,Q1,1,January,2024-01,2,Wednesday
2024-01-11,2024,Q1,1,January,2024-01,2,Thursday
2024-01-12,2024,Q1,1,January,2024-01,2,Friday
2024-01-13,2024,Q1,1,January,2024-01,2,Saturday
2024-01-14,2024,Q1,1,January,2024-01,2,Sunday
2024-01-15,2024,Q1,1,January,2024-01,3,Monday
2024-01-16,2024,Q1,1,January,2024-01,3,Tuesday
2024-01-17,2024,Q1,1,January,2024-01,3,Wednesday
2024-01-18,2024,Q1,1,January,2024-01,3,Thursday
2024-01-19,2024,Q1,1,January,2024-01,3,Friday
2024-01-20,2024,Q1,1,January,2024-01,3,Saturday
2024-01-21,2024,Q1,1,January,2024-01,3,Sunday
2024-01-22,2024,Q1,1,January,2024-01,4,Monday
2024-01-23,2024,Q1,1,January,2024-01,4,Tuesday
2024-01-24,2024,Q1,1,January,2024-01,4,Wednesday
2024-01-25,2024,Q1,1,January,2024-01,4,Thursday
2024-01-26,2024,Q1,1,January,2024-01,4,Friday
2024-01-27,2024,Q1,1,January,2024-01,4,Saturday
2024-01-28,2024,Q1,1,January,2024-01,4,Sunday
2024-01-29,2024,Q1,1,January,2024-01,5,Monday
2024-01-30,2024,Q1,1,January,2024-01,5,Tuesday
2024-01-31,2024,Q1,1,January,2024-01,5,Wednesday
2024-02-01,2024,Q1,2,February,2024-02,5,Thursday
2024-02-02,2024,Q1,2,February,2024-02,5,Friday
2024-02-03,2024,Q1,2,February,2024-02,5,Saturday
2024-02-04,2024,Q1,2,February,2024-02,5,Sunday
2024-02-05,2024,Q1,2,February,2024-02,6,Monday
